customer_id,customer_name,customer_email,signup_date
51142f9f-0269-49f1-9d98-2b3ad1b54b86,Joshua Hogan,lbrown@example.com,2024-06-26
890185cc-547f-47d7-a21d-f591c926ee57,Mary Jacobson,peckgwendolyn@example.net,2022-07-28
5441fcc6-29ca-454a-bc83-d507cb699770,Lisa Johnson,laura59@example.org,2023-08-21
f2fda715-2ed6-4321-b02f-5429e360d869,Nancy Bridges,tamara85@example.net,2023-03-18
1ae1f569-37e9-451d-90c8-15d56b91523b,David Long,natashayoung@example.com,2023-09-20
f7febc8b-eb04-4b42-8f80-e5610004c2bb,Lauren Foley,lorimann@example.com,2023-02-23
3e8e5c57-32d0-4e42-8559-3024b59d6997,Robin Andrews,michaelabeasley@example.com,2022-08-28
3198b144-d88f-4a7f-9d2c-9dfaaba40e47,Jennifer Clark,ruth81@example.com,2023-05-24
bdc2333c-b7de-4442-a000-9e8169e7964d,Kevin Martinez,dennis70@example.org,2023-02-19
2eff060d-4020-4997-8aa0-dd3825c7dbe0,Amy Acevedo,mejiamelissa@example.net,2022-09-07
242fe96e-e813-44b2-8727-3263f65f03ad,Tyler Taylor,xpierce@example.org,2024-01-09
6c47b44d-9ba7-4b16-a3ec-6be37e54ea8d,Angie Moses,bmoreno@example.org,2022-10-06
6339e1b4-5b35-4e4d-9000-43457849d4c8,Wesley Holloway,hspence@example.org,2024-04-11
20421373-8211-4c2a-a0b5-7b7b2832ff57,Jonathan Simpson,cruzamber@example.net,2024-06-04
d52a86e3-2ff3-4f9a-9ab3-1001cb038dcc,Lisa Morse,dustin02@example.com,2023-03-08
e2f4861b-76ee-4696-9ace-b73dc655b67f,Jeanette Ray,schwartzanne@example.org,2023-07-28
1432e9a5-5a14-44e7-887f-c8a38223a6e8,James Acosta,brookerichmond@example.net,2024-04-21
91dd0e62-c959-4203-a79d-de01b076b1dd,Mrs. Angela Howell,owright@example.net,2022-12-09
6bdf3d60-bf3d-45f7-a393-415f22020ec4,John Moon,silvaricky@example.net,2023-04-30
ae7956e5-8cf9-4d3f-9967-d517b06e1da3,Miguel Winters,tracey67@example.net,2022-08-29
452c5d20-7a82-412e-8ddd-c6ce9dfa868d,Kari Mann,fgregory@example.net,2022-12-28
986157b8-354a-4f15-9178-e104a3470c3f,Brittany Williams,wayne86@example.org,2024-06-29
a0c84e47-301b-4b9b-b83c-c124c446feb2,Joseph Tucker,meadowsdavid@example.com,2022-12-06
42307318-a9cd-410f-972b-81287074204a,Michael Hartman,kingchristine@example.net,2023-06-01
34d4f41b-dc57-428b-9953-2726be4eb0be,Angie Dunn,ivan83@example.com,2022-12-11
210758be-1c98-4fdf-85f2-118e9129b72b,Audrey Flores,derrick35@example.net,2022-07-18
5de006bb-08cc-4d6c-8928-8d75b8a2b348,Joe Jones,amy35@example.net,2023-02-22
8c8f2489-f580-4d27-bb73-7cc321392eac,Tamara Frank,ericallen@example.com,2023-10-27
5528f785-91d3-4fb3-a35e-54d4883fee1a,Eric Hobbs,jsmith@example.com,2023-03-05
3d92b627-a990-4ac2-8cb5-0883f5b0275f,Jason Hernandez,tporter@example.net,2024-02-26
3fe3bf18-d6bc-47a3-a326-3afacad156b5,Cody Pham,rhenderson@example.org,2023-05-26
9ef95779-cba0-4abb-8ca8-85377016799c,Leslie Clark,mortonstephen@example.org,2023-03-14
21de9440-9bdd-4014-8662-391b32137293,Charles Nguyen,holly15@example.com,2022-11-02
d891cff1-34a1-4c78-a540-9f3f29bfc486,Kristin Rivera,suejohnson@example.org,2023-11-03
15063383-66c2-45db-8a13-be6031051468,Edgar Goodwin,pfleming@example.net,2023-08-04
0f67bedf-e750-4b62-96e4-ca7611d7112d,Lori Jones,leerichard@example.org,2024-05-08
e11e4277-6ae4-4256-bf0d-42ed5df63dbd,Benjamin Stewart MD,ujohnson@example.net,2024-06-21
6a81bcdf-c167-47e5-811a-7076a18ba9e8,Jonathan Hill,lopezphillip@example.com,2022-12-15
72c8ac1a-1f33-4025-a136-b8dad8f27f01,Lindsey Parker,rebeccasanders@example.com,2023-05-04
de744d66-a7dc-4cb2-8763-d5410d276d10,Alexandria Fields,jenniferwilson@example.org,2023-01-22
0198e52c-7b7c-4493-9293-7edb79057242,Adam Larson,kleinlori@example.org,2022-11-06
124ddc6f-5750-45dc-843f-ff7368dc9777,Jessica Martin,igreen@example.net,2024-02-11
a1a83815-316a-4e6d-9780-d9329fee9d0e,Julie Schaefer,derek86@example.net,2022-08-09
36a4423a-323d-442a-88f2-a1d395e7a7a7,Phillip Olsen,uvasquez@example.org,2023-07-02
86cc4ed8-a92b-40cf-b1de-9f87aa5c1981,Andrea Swanson,djoyce@example.org,2022-08-12
72ec9d4b-f846-449c-8073-dd714849620d,Veronica Mccullough,tanya12@example.org,2022-09-20
5f994b4e-3df9-44e8-a3d5-867c98151646,Thomas Williams,roystephanie@example.net,2024-01-21
9227d3a1-cf9c-4bff-9557-7cf210e2473d,Madison Fisher,donovanjames@example.com,2023-12-30
f64401e5-5d4a-4af0-9097-7889ae6acf01,Darius Logan,christinanguyen@example.com,2022-09-24
0a57a687-3912-4e48-93f2-df7f30cd43f2,Brittany Price,kennethsmith@example.org,2023-06-20
21f6780d-71fa-4b49-a3d5-19ae02a3d345,Alicia Morton,mbrown@example.com,2024-01-12
8e55f874-678f-4281-ac36-ea0f778dae8b,Anthony Perry,amandajones@example.net,2023-05-24
b009ff1d-eb4b-40d7-b967-b683675266b2,Casey Jones,csnyder@example.net,2024-02-06
e0734f95-5bf6-4dcd-84b7-ec7287bf96a8,Eric Boyd,jrose@example.org,2024-05-22
013458ea-5dc0-4576-a6b5-8a12643072af,Kayla Nichols,jameserickson@example.com,2023-06-21
59fb48a2-e4b2-4678-a606-09e4a2d2831d,Jennifer Tran,curtis75@example.net,2023-10-25
d28b1e9b-3c96-4c68-8618-c138b8986de7,Jennifer Page,cameroncraig@example.com,2024-06-07
d49a4197-7cc0-45e5-9088-f78c002064d7,Lisa Mccarthy,icook@example.com,2023-12-25
bc847835-f78f-4a6f-bce8-29decc440dbe,Stephanie Ward,rachelrussell@example.org,2023-03-01
5d9a6d91-ca44-43a4-8bd9-77aa46de9f47,Paul Joseph,kelleysandra@example.net,2023-08-24
2d42936b-51fb-41c1-9928-105235d33390,John Schwartz,justin23@example.net,2023-07-07
26a9d775-66fd-4896-a03e-994440eecee3,Aaron Reeves,ebennett@example.org,2023-11-03
0246a77a-597c-4d7b-8317-da13342ec987,Michael Middleton,xmorgan@example.net,2024-03-01
